Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
China,Jiangxi,2,0.2809,Observational,36,Subgroup,ive,Positive only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,,31,,,18,44,,0.5,0,0,1,0,0,0.5,,,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,0.5,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,8,3,0,0
China,Jiangxi,9,0.2865,Observational,36,Subgroup,Experienced,Positive only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,,44,,,18,66,,0.333,0,0,1,0,0,0.111,,0.111,,,,,,,,,,,,,0.222,0.222,,,,,,,,,0.444,,,,0.333,0.666,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,20,13,0,0
China,Two provinces,62,0.4775,Observational,32,Subgroup,Confirmed,Positive only,Survivors only,Non-discharged only,Yes,Both,All,Both,43.8,,,,,,0.516,0,0,1,0,0,,0.71,0.386,7,7,3.5,9,,,,,0.248,0.168,,,,0.139,0.05,0.02,0.03,0.01,0.03,0.01,0,,0.79,,,,0.597,0.048,0.081,0.161,0.242,0.242,0.048,0.113,,,0.081,,,,0.048,,,0.065,1,5.3,4,6.7,1.3,0.9,1.8,,,178,130.5,215.5,2.9,3.7,6.6,138.8,122.1,155.5,,,22,25.5,9.7,7.4,13.1,,68,67,9.9,,,0.05,0.37,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,0,
China,Chongqing,167,0.2191,Observational,60,Top-level,General,Positive only,Both,Both,No,ΝΑ,All,,,,,,,,,0,0,1,0,0,,0.322,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.748,0.131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,1,0,1,,16.68,,0,0
China,Chongqing,2,0.3483,Observational,60,Subgroup,Asymptomatic 0-14,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0,1,9,,,,,,,,0,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,4.66,3.81,5.5,2.93,1.91,3.94,811,561,140.5,30,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,0,1,,16.5,,0,0
China,Chongqing,2,0.3258,Observational,60,Subgroup,Asymptomatic 15-29,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0.5,0.5,8.5,,,,,,,,0,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,3.9,,,1.63,1.21,2.05,691,537,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,0,1,,10.5,,0,0
China,Chongqing,2,0.3427,Observational,60,Subgroup,Asymptomatic 30-39,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0.5,0,20.5,,,,,,,,0.5,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,7.11,5.11,9.1,2.14,1.31,2.96,420,,229,221,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,0,1,,16,,0,0
China,Chongqing,6,0.3483,Observational,60,Subgroup,Asymptomatic 40-49,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0,0.667,8.8,,,,,,,,0.333,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,5.9,4.11,6.27,1.3,0.96,1.99,433,370,183,87,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.167,,0,,,0,,,,1,0,1,,12.2,,0,0
China,Chongqing,5,0.3427,Observational,60,Subgroup,Asymptomatic 50-59,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0,0.8,7,,,,,,,,0.4,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,6.42,6.68,9.4,2.04,2.03,3,253,,197,192,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,0,1,,11.6,,0,0
China,Chongqing,3,0.3258,Observational,60,Subgroup,Asymptomatic 70+,Positive only,Both,Both,No,ΝΑ,Mild only,,,,,,,,,0,0,1,0,0,,0,1,13.7,,,,,,,,0,,,,,,,,,,0,,0,,0,,,,0,0,0,,,0,,,,,,,,,1,0,0,0,0,5.19,5.17,8.05,0.83,0.78,2.57,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,0,1,,19,,0,0
China,Chongqing,7,0.3427,Observational,60,Subgroup,Severe 30-39,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,,,,,,,,0,0,1,0,0,,0.714,0.286,9.1,,,,,,,,0.286,,,,,,,,,,0.143,,0,,1,,,,0.714,0.143,0.571,,,0.571,,,,,,,,,0,0,1,0,0,5.29,4.1,8.2,2.19,0.67,2.97,399,342,205.5,133,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.143,,,0,,,,1,,1,,18.3,,0,0
China,Chongqing,3,0.3427,Observational,60,Subgroup,Severe 40-49,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,,,,,,,,0,0,1,0,0,,0.667,0.333,8.3,,,,,,,,0,,,,,,,,,,0,,0,,0.667,,,,0.667,0.333,0,,,0,,,,,,,,,0,0,1,0,0,3.3,3.26,3.34,0.86,0.75,0.96,393,304,186,174,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,,1,,17,,0,0
China,Chongqing,5,0.3427,Observational,60,Subgroup,Severe 50-59,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,,,,,,,,0,0,1,0,0,,0.8,0.2,12.3,,,,,,,,0.2,,,,,,,,,,0.2,,0,,0.8,,,,0.6,0.6,0.2,,,0.2,,,,,,,,,0,0,1,0,0,5.17,3.2,6.07,0.78,0.75,1.07,167,235,77,68,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.2,,,0,,,,1,,1,,26.5,,0,0
China,Chongqing,3,0.3371,Observational,60,Subgroup,Severe 60-69,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,,,,,,,,0,0,1,0,0,,0,0.333,,,,,,,,,0.667,,,,,,,,,,0,,0,,0.333,,,,0.667,0.667,1,,,1,,,,,,,,,0,0,1,0,0,6.34,5.43,6.68,0.69,0.63,1.43,117,121,158,131,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,1,,1,,15.7,,0,0
China,Chongqing,4,0.3427,Observational,60,Subgroup,Severe 70-79,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,,,,,,,,0,0,1,0,0,,0.5,0.5,10.3,,,,,,,,0.25,,,,,,,,,,0.25,,0,,0.5,,,,0.75,1,0.5,,,0.5,,,,,,,,,0,0,1,0,0,3.05,2.25,3.85,0.5,0.4,0.97,121,111,130.5,121,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.25,,,0,,,,1,,1,,21.25,,0,0
China,Wuhan,403,0.5056,Observational,26,Top-level,General,Positive only,Both,Both,Yes,Both,All,,56,56,,39,68,,0.479,0,0,1,0,0,,,,,,,,,,,,0.072,0.102,,,0.434,0.28,0.141,0.089,0.069,,,0.097,0.017,0.097,0.792,,,,0.102,0.02,,,0.005,0.035,,0.01,0.005,,0.02,,,,,,,,1,5.5,4.11,7.3,1.06,0.75,1.49,,,192,148,251,3.57,,,126.9,109.2,144.6,,37.4,,,12.8,10,17.5,,69,,25.5,,,0.06,0.73,,0.866,0.978,,0,0.305,,,0.804,0,0.412,0.491,,0.263,,0.139,0.057,,,0.179,,,0.355,,,,,,0.216,,0.206,0.141,0.192,,,1,,0.75,,,,0.25,0.25
China,Wuhan,100,0.5056,Observational,26,Subgroup,Non-survivors,Positive only,Non-survivors only,Discharged only,Yes,Both,Severe/Critical Only,,71,71,,65,80,,0.57,0,0,1,0,0,,,,,,,,,,,,0.09,0.1,,,0.77,0.6,0.25,0.16,0.17,,,0.22,0.03,0.22,0.87,,,,0.04,0.02,,,0,0.02,,0.01,0,,0,,,,,,,,1,8.58,5.13,12.34,0.73,0.46,0.92,,,169,121,219,7.09,,,125,105.4,144.6,,33.2,,,17.4,12.7,24.7,,82,,95,,,0.2,5.38,,0.99,0.96,,0,0.21,,,0.66,0,0.74,0.66,,0.74,,0.48,0.16,,,0.08,,,0.9,,,,,,0.71,,0.65,0.43,0.58,,,1,,0,,,,1,1
China,Wuhan,303,0.5056,Observational,26,Subgroup,Discharged,Positive only,Both,Discharged only,Yes,Both,All,,49,49,,37,62,,0.449,0,0,1,0,0,,,,,,,,,,,,0.066,0.102,,,0.323,0.175,0.106,0.066,0.036,,,0.056,0.013,0.056,0.766,,,,0.122,0.02,,,0.007,0.04,,0.01,0.007,,0.026,,,,,,,,1,5.03,3.98,6.5,1.18,0.9,1.62,,,205,153,264,3.1,,,127.5,110.4,144.6,,38.5,,,11.9,9.5,15.4,,68,,23.8,,,0.04,0.5,,0.829,0.983,,0,0.3,,,0.851,0,0.304,0.436,,0.106,,0.026,0.023,,,0.211,,,0.175,,,,,,0.053,,0.059,0.046,0.063,,,1,,1,,,,0,0
China,Qingdao/Wuhan,74,0.3483,Observational,38,Top-level,General,Positive only,Both,Discharged only,Yes,ΝΑ,All,,6,6,,0.1,15.08,,0.5946,0,0,1,0,0,,,0.9559,,,,,,,,,0,0,,,0,,,,,,,,,,0.2703,38.6,40.1,,0.3243,0.027,0.027,0.027,0,0.0676,,0.0405,,0.0405,,,,,0.4054,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,0.1,,,0.3552,,0,0,,,,,,0.013,,,0,,0.013,0,0,0,,,,,,,,,,,,,,,,,1,,1,,11,,0,0
Japan (Diamond Princess),International,104,0.2079,Observational,15,Top-level,General,Positive only,Survivors only,Both,,,All,,68,,,46.75,75,,,0,0,1,0,0,,,,,,,,,,,,,,,,0.5,,0.067,,,0.038,,,,,0.288,,,,0.279,0.067,0.096,,,,,0.077,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Diamond Princess),International,76,0.1742,Observational,15,Subgroup,"Non-severe (asymptomatic, mild)",Positive only,Survivors only,Both,,,Mild only,,66.5,,,44.75,74,,,0,0,1,0,0,,,,,,,,,,,,0.145,,,,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Diamond Princess),International,28,0.1742,Observational,15,Subgroup,Severe,Positive only,Survivors only,Both,,,Severe/Critical Only,,72.5,,,55.25,76.5,,,0,0,1,0,0,,,,,,,,,,,,0.25,,,,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,tionwide,7755,0.1404,,15,Top-level,General,Positive only,Both,Both,No,,All,,,,,,,,0.38,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.01,
South Korea,tionwide,66,0.2079,,15,Subgroup,Non-survivors,Positive only,Non-survivors only,Discharged only,No,,Severe/Critical Only,,77,,,45,84,,0.56,0,0,1,0,0,,,,,,,,,4.5,0,11,,,,,0.97,,,0.159,,0.111,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,1,1
China,Wuhan,82,0.4101,,19,Top-level,General,Positive only,Both,Both,Yes,Both,All,Both,4,3.39,,0,6,0,0.622,0,0,1,0,0,,1,,,,,,,,,,0,0,,,0.09,,,,,,,,,0.09,0.6219,,,,0.6219,0.0244,,,,,,,,,,,,,0.0976,,,,0,8.76,,,,,,,,248,,,,,,125,,,,38.07,34.57,44.43,,,,12.52,16.13,,18.22,64.97,30.66,1.47,,10.82,0.8537,1,,,,,,,,0.0366,0.0366,0.061,,,0.0244,0.0244,,,,,0,0.0122,0.0122,0,0,0.0122,0.0244,0,,,,,,,1,0.1,0.73,,11.2,,0,0
China,Shenzhen,6,0.5,Observational,14,Top-level,General,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,All,Non-ventilation only,50,46.17,17.98436475,36,65,0,0.5,0,0,1,0,0,0.33,0,0.33,4.5,4.5,3,6,7.8,7,7,9,,,,,0.6667,0.3333,0.1667,0,0,0.1667,,,0,0.1667,0.8333,37.7,,,0.8333,,,,0.5,0.5,0.1667,0.3333,,,0.1667,,,,,0.1667,0.1667,0,1,5.2,4.3,6.5,1.7,0.7,2.7,,,196.5,166.75,201,4.05,,,148,131,152,,44.45,19.23,24.18,7.9,6.15,9.2,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.83,0,0,0,,,0,
China,Shenzhen,1,0.4775,Observational,14,Subgroup,Patient 1,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,65,65,,65,65,0,0,0,0,1,0,0,1,0,1,,,,,7,7,7,7,,,,,1,1,0,0,0,1,,,0,0,1,39,,,1,,,,1,1,0,0,,,0,,,,,0,0,0,1,4.8,4.8,4.8,0.6,0.6,0.6,,,157,157,157,4,,,131,131,131,,39.4,14.2,20.5,6.9,6.9,6.9,3.5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,,,0,
China,Shenzhen,1,0.4775,Observational,14,Subgroup,Patient 2,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,66,66,,66,66,0,1,0,0,1,0,0,0,0,0,,,,,6,6,6,6,,,,,1,1,0,0,0,0,,,0,0,1,39,,,1,,,,1,1,0,0,,,0,,,,,1,1,0,1,4.2,4.2,4.2,0.7,0.7,0.7,,,118,118,118,3.2,,,156,156,156,,38.5,13.9,23.3,5.9,5.9,5.9,5.7,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,,,0,
China,Shenzhen,1,0.4775,Observational,14,Subgroup,Patient 3,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,37,37,,37,37,0,0,0,0,1,0,0,1,0,1,,,,,9,9,9,9,,,,,0,0,0,0,0,0,,,0,0,1,36.2,,,1,,,,0,0,1,1,,,1,,,,,0,0,0,1,5.6,5.6,5.6,2.2,2.2,2.2,,,224,224,224,3.1,,,150,150,150,,50.4,25.9,27.4,9.3,9.3,9.3,3.1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,,,0,
China,Shenzhen,1,0.4775,Observational,14,Subgroup,Patient 4,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,36,36,,36,36,0,1,0,0,1,0,0,0,0,0,,,,,10,10,10,10,,,,,1,0,0,0,0,0,,,0,1,1,36.5,,,1,,,,0,0,0,1,,,0,,,,,0,0,0,1,11.4,11.4,11.4,2.7,2.7,2.7,,,196,196,196,8.1,,,152,152,152,,48.1,20.2,18.1,8.9,8.9,8.9,5.2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,,,0,
China,Shenzhen,1,0.4551,Observational,14,Subgroup,Patient 5,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,10,10,,10,10,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,36.5,,,0,,,,0,0,0,0,,,0,,,,,0,0,0,1,6.5,6.5,6.5,2.8,2.8,2.8,,,197,197,197,3.2,,,146,146,146,,49.1,23.9,28.2,3.6,3.6,3.6,5.6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,
China,Shenzhen,1,0.4775,Observational,14,Subgroup,Patient 6,Positive only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,63,63,,63,63,0,0,0,0,1,0,0,0,0,0,,,,,7,7,7,7,,,,,1,0,1,0,,0,,,0,0,1,39,,,1,,,,1,1,0,0,,,0,,,,,0,0,0,1,4.3,4.3,4.3,1.2,1.2,1.2,,,205,205,205,2.7,,,130,130,130,,41.2,17.3,27.6,10.4,10.4,10.4,4.9,,,,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,,,0,
China,Wuhan,101,0.6011,Observational,45,Top-level,General,Positive only,Non-survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,,,60,80,,0.5941,0,0,1,0,0,1,1,,,,,,,,,,,,,,0.82,0.5842,0.2178,0.24,0.1386,0.07,0.18,0.1287,0.11,0,0.8119,,,,0.5545,0.5842,0.0495,,0.06,0.3564,,0.1,0.03,,,,,,0,0,0,1,1,9.7,9.04,10.36,0.76,0.68,0.84,197.9,130.4,178.2,167.37,189.03,8.47,,,,,,,33.14,55.99,116.8,25.01,18.32,31.7,11.94,139.8,,107.9,,,1.3,15.31,15.35,0.98,0.96,0,0,0,,0,0.96,0,0.4356,0,0,0.7723,0.7723,0.4059,0.1386,0,0.0495,0,0,,,0.9901,,,0.5248,,0.1782,0.1386,0.5248,0.2277,,,,1,,0,,4,,1,1
China,Wuhan,48,0.5955,Observational,45,Subgroup,<= 3 day course of disease group,Positive only,Non-survivors only,Discharged only,Yes,,Severe/Critical Only,Both,72,,,59,78,,0.58,0,0,1,0,0,1,1,,,,,,,,,,,,,,0.77,0.54,0.19,0.1875,0.08,0.06,0.19,0.08,0.04,0,0.79,,,,0.48,0.58,0.02,,0.02,0.4,,0.08,0.02,,,,,,0,0,0,1,1,12.36,11.11,13.61,0.7,0.62,0.78,203.3,120.7,185.2,163.95,206.45,11.23,,,,,,,32.32,88.64,219.2,28.94,16.95,40.93,15.2,172.5,,123.4,,,2.26,21.28,18.73,0.98,0.9792,0,0,0,,0,0.9792,0,0.3542,0,0,0.7292,0.7292,0.2292,0.1667,0,0.0417,0,0,,,0.9792,,,0.5833,,0.1875,0.0833,,0.25,,,,1,,0,,2,,1,1
China,Wuhan,53,0.5955,Observational,45,Subgroup,> 3 day course of disease group,Positive only,Non-survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,,,59,81,,0.6,0,0,1,0,0,1,1,,,,,,,,,,,,,,0.85,0.62,0.25,0.283,0.19,0.08,0.17,0.17,0.17,0,0.83,,,,0.62,0.58,0.09,,0.09,0.32,,0.11,0.08,,,,,,0,0,0,1,1,7.72,7.21,8.23,0.69,0.64,0.74,195.6,151,173,162.5,183.5,6.48,,,,,,,33.75,34.15,46.15,22.38,14.61,30.15,10.08,116.5,,94.1,,,0.58,11.47,13.22,0.98,0.9434,0,0,0,,0,0.9434,0,0.5094,0,0,0.8113,0.8113,0.566,0.1132,0,0.0566,0,0,,,1,,,0.4717,,0.1698,0.1887,,0.2075,,,,1,,0,,7,,1,1
China,Wuhan,55,0.5,Observational,23,Subgroup,Non-survivors,Positive only,Non-survivors only,Discharged only,Yes,,Severe/Critical Only,Both,70.7,70.7,,60,80,0,0.67,0,0,1,0,0,1,1,,,,,,,,,,,,,,0.73,0.6,0.26,,0.22,0.07,0.06,0.22,0.09,0,0.96,,,,0.62,0.96,0.04,,0.93,0.93,,0.04,0.04,,,,,,0,0,0,1,1,7.85,4.84,12.79,0.55,0.41,0.8,,,160.5,93.3,227.7,7.58,3.44,11.72,125,105,145,,34.2,25,43,14.1,8.6,19.9,8.34,80,,84.9,44,,0.4,3.31,13.1,0.96,,,,,,,,,,,,,,0.218,,,0.073,,,,,,,,,,,,,,,,,1,,0,,,,1,1
China,Wuhan,140,0.3764,Observational,18,Top-level,General,Positive only,Both,Both,No,ΝΑ,All,,57,,,30,75,0.021,0.507,0,0,1,0,0,0.107,0,0,,,,,8,8,7,10,0.014,,,,0.643,0.3,0.121,0.05,0.014,,0.057,,,0.1,0.917,,,,0.75,0.367,,,,0.75,0.367,0.129,0.173,0.122,,,,,,0.414,,,1,4.7,3.7,6.7,0.8,0.7,1,,,,,,,,,,,,,,,,,,,,,72.5,34.2,,,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
China,Wuhan,82,0.3764,Observational,18,Subgroup,Non-severe,Positive only,Both,Both,No,ΝΑ,Mild only,,51.5,,,31,71,0.037,0.463,0,0,1,0,0,0.134,0,0,,,,,8,8,6,10,0,,,,0.537,0.244,0.11,0.037,0,,0.05,,,0.1,0.881,,,,0.761,0.299,,,,0.761,0.299,0.11,0.232,0.11,,,,,,0,,,1,4.5,3.5,5.9,0.8,0.7,1.1,,,,,,,,,,,,,,,,,,,,,83,28.7,,,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
China,Wuhan,58,0.3764,Observational,18,Subgroup,Severe,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,64,,,33,77,0,0.569,0,0,1,0,0,0.069,0,0,,,,,7,7,6,10,0.034,,,,0.793,0.379,0.138,0.069,0.034,,0.069,,,0.1,0.962,,,,0.736,0.453,,,,0.736,0.453,0.158,0.088,0.14,,,,,,1,,,1,5.3,4,9,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,66,47.6,,,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
China,Wuhan,36,0.5393,Observational,24,Top-level,General,Positive only,Non-survivors only,Discharged only,Yes,ΝΑ,Severe/Critical Only,,69.22,69.22,18.890544,62.8844,75.5556,,0.6944,0,0,1,0,0,,,,,,,,,,,,0.1111,,,,,0.5833,0.1944,0.1389,0.1111,0.0278,,0.2222,0.0833,,0.9444,,,,0.7778,0.5833,,0.2222,0.0278,0.4722,,0.0833,,,,,,,,0,1,0,0,7.67,4.1,10.97,0.67,0.45,0.89,,,167.21,115.4,219.02,6.64,,,123.74,111.14,136.34,,30.18,26,43,11.21,7.5,19.2,7.8,83,,106.2,,100.6,0.61,8.64,,1,0.9722,0.9722,0,0.9722,,0.9722,0.9722,0,0.6944,0.5556,,0.9722,,0.5278,0.25,,,0.1667,,,1,,1,,,,,,,0.0278,,,,1,,0,,,,1,1
Chile,Chile,922,0.191,Observational,22,Top-level,General,Positive only,Both,,,,,,34,,,29,47,,0.49,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.52,0.57,0.52,,0.04,,,,0.47,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0,
